"code","Nom vrac","marque","type vrac","Agitateur","Jupe","T°C jupe","Pompe","Etuve","T°C ambiante","Rincage Eko","Labo validation","Circuit Fermé Microbio","Circuit Fermé en Trémis","Microbio validation","Commentaire"
"VRT16341","Baume en gel hydra-lumiere","tha",,"Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT17081","BB cream teinte dore","tha",,"Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT17091","BB cream naturel","tha",,"Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT17101","BB cream ivoire","tha",,"Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI","NON","OUI",
"VRT17121","Correction routes cellulites","tha",,"Nc","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT17141","Gelee lactee hydratante","tha",,"Nc","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT14463","Fond de teint anage opale","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT15011","Soin perfection matite","tha",,"Non","Non",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI","Formation d'amas dans le temps"
"VRT15022","Masque clarté absolue","tha","H0","Oui","Oui","40","Oui","Oui","Oui",,"OUI","NON",,"OUI",
"VRT15071","Creme nutri-apaisante","tha","J+1","Oui","Oui","40","Oui","Oui","Nc",,"OUI","OUI",,"OUI",
"VRT15081","Creme riche nutri-apaisante","tha","J0","Oui","Nc",,"Oui","Oui","Nc",,"OUI","NON",,"OUI",
"VRT15101","Masque nutrition intense","tha","J+1","Oui","Oui","38","Oui","Oui","Oui",,"OUI","OUI",,"OUI",
"VRT15111","Lait corps hydratation 24H","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT15121","Creme corps haute nutrition 24H F","tha","H0/J0","Oui","Oui","40","Nc","Oui","Nc",,"OUI","NON",,"OUI",
"VRT15122","Creme corps haute nutrition","tha","H0/J0","Oui","Oui","40","Oui","Oui","Nc",,"OUI","NON",,"OUI",
"VRT15141","Creme main haute nutrition","tha","J+1","Nc","Non",,"Nc","Non","Oui",,"OUI","OUI",,"OUI",
"VRT15261","Creme soin vergetures","tha",,"Oui","Oui","40","Nc","Oui","Nc",,"OUI","NON",,"OUI",
"VRT15281","Soin expert zones rebelles","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT17201","Gommage marin revitalisant","tha","J+1 pas utile","Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT17321","Fluide regard hydra-lumiere 24","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT17331","Sleeping creme","tha",,"Nc","Non",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT17341","Masque SOS apaisant","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT18041","Serum redensifiant intensif","tha",,"Oui","Nc",,"Oui","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT18051","Soin lift paupiere","tha",,"Oui","Nc",,"Nc","Nc","Nc",,"OUI","OUI","OUI","OUI",
"VRT18061","Creme redensifiante","tha",,"Oui","Non",,"Oui","Non","Oui",,"OUI","OUI",,"OUI",
"VRT18071","Creme riche redensifiante","tha",,"Oui","NON",,"Oui","NON","Oui",,"OUI","OUI",,"OUI",
"VRT18311","Serum correcteur pigmentaire","tha",,"Nc","Nc",,"Non","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT18331","creme uniformisante","tha",,"NON","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI","liquéfie à chaud"
"VRT18341","Correcteur local taches","tha",,"Nc","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT18611","Baume apaisant reparateur","tha","J+1","Oui","Nc",,"Nc","Non","Nc",,"OUI","OUI",,"OUI",
"VRT19261","Creme riche correction rides","tha","H0","Non","Non",,"Oui","Non","Nc",,"OUI","NON",,"OUI",
"VRT19252","Gel creme correction rides","tha",,"Oui","Non",,"oui","Non","Nc",,"OUI","OUI",,"OUI",
"VRT19151","Gel creme energisant anti-pol","tha",,"Nc","Non",,"Nc","Non","Nc",,"OUI","OUI",,"OUI",
"VRT20151","Gel creme fraicheur hydratant","tha",,"Non","Non",,"Oui","Non","Nc",,"OUI","OUI",,"OUI",
"VRT20191","Soin defroissant regard","tha",,"Oui","NON",,"Oui","NON","Nc",,"OUI","OUI",,"OUI",
"VRT20201","Creme de modelage oligo-marine","tha",,"Oui","Non",,"Oui","Oui","Nc",,"OUI","OUI",,"OUI",
"VRT20181","Creme massage pro rehydra","tha",,"Non","Non",,"Non","Non","Nc",,"OUI","OUI",,"OUI",
"VRT20161","Soin de nuit ressourcant","tha","J0","Oui","non",,"Oui","Non","Nc",,"OUI","OUI",,"OUI","J0 car fige en hiver"
"VRT22051","Creme riche lift fermete","tha","J0","NON","Oui uniquement s'il est mise directement en sortie de fabrication. Le vrac ne doit pas descendre en dessous de 30°.",">30°C","OUI","NON","Nc",,"OUI","OUI",,"OUI","Ce vrac une fois refroidit n'aime aucune contrainte (ex: reprise avec ABpompe, perte de 70 000mPas de visco)"
"VRT19141","Serum energisant detox","tha",,"Non","Non",,"Non","Non","Nc",,"OUI","OUI",,"OUI",
"VRT20471","Baume soyeux hydra","tha","Bidon","Nc","Non",,"Non","Non","Nc",,"OUI","OUI",,"OUI",
"VRT22061","Soin de nuit lift fermete","tha","J0","Non","Non",,"NON","Non","Nc",,"OUI","OUI",,"OUI","Vrac sensible chauffe et cisaillement. "
"VRT20132","Creme fondante hydratante","tha","bidon","Non","Nc",,"Oui","Non","Nc",,"OUI","OUI",,"OUI",
"VRT23031","Creme riche nutri-confort","tha","H0","Non","Oui mais pas la nuit",,"Non","Non","Nc",,"OUI","OUI",,"OUI","Attention risque de déphasage s'il reste en chauffe trop longtemps. "
"VRT21231","Soin regenerant","tha","H0","Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRT22072","Soin regard lift fermete","tha",,"NON","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","Vrac sensible chauffe et agitation. Formule non stable"
"VRT15082","Creme riche nutri-apaisant","tha","H0","Oui","Nc",,"Oui","Nc","Nc",,"OUI","NON",,"OUI",
"VRT23101","Masque pro peeling eclat","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT23091","Creme energisante","tha",,"Oui","Nc",,"Oui","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT18601","serum resurfacante intense","tha",,"Non","Nc",,"Non","Nc","Nc",,"OUI","OUI",,"OUI","ne pas garder en stock"
"VRT24031","Creme apaisante","tha",,"Oui","Oui",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
